Name,Height,Weight,Preferred Foot,Birth Date,Age,Preferred Positions,OVR,POT,Value,Wage,GK Reflexes,Ball Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeper
Erling Haaland ,195 cm,94 kg,Left,"July 21, 2000",23,ST,91,94,157000000.0,340.0,7,80.5,38.0,80.16666666666667,59.0,83.71428571428571,84.0,10.4
Kylian Mbappé ,182 cm,75 kg,Right,"Dec. 20, 1998",24,"ST, LW",91,94,153500000.0,225.0,6,92.5,33.0,76.66666666666667,78.33333333333333,89.0,82.25,8.4
Kevin De Bruyne ,181 cm,75 kg,Right,"June 28, 1991",32,"CM, CAM",91,91,103000000.0,350.0,13,89.0,61.5,84.0,94.33333333333333,75.71428571428571,83.125,11.2
Harry Kane ,188 cm,85 kg,Right,"July 28, 1993",30,ST,90,90,119500000.0,170.0,11,84.5,42.0,81.33333333333333,85.0,75.85714285714286,86.5,10.8
Thibaut Courtois ,199 cm,96 kg,Left,"May 11, 1992",31,GK,90,90,63000000.0,250.0,93,18.0,17.0,41.5,27.333333333333332,54.0,22.375,86.6
Robert Lewandowski ,185 cm,81 kg,Right,"Aug. 21, 1988",35,ST,90,90,58000000.0,340.0,10,88.0,30.5,81.0,76.66666666666667,81.14285714285714,87.75,10.2
Karim Benzema ,185 cm,81 kg,Right,"Dec. 19, 1987",35,"CF, ST",90,90,51000000.0,95.0,7,89.0,21.0,77.66666666666667,80.0,79.28571428571429,84.625,8.2
Lionel Messi ,169 cm,67 kg,Left,"June 24, 1987",36,"CF, CAM",90,90,41000000.0,23.0,8,94.5,29.5,75.16666666666667,88.0,79.42857142857143,83.625,10.8
Rúben Dias ,187 cm,82 kg,Right,"May 14, 1997",26,CB,89,90,97500000.0,250.0,12,69.5,89.0,73.16666666666667,71.0,70.14285714285714,48.375,9.4
Vini Jr. ,176 cm,73 kg,Right,"July 12, 2000",23,LW,89,94,121500000.0,310.0,10,91.0,21.5,69.5,78.33333333333333,84.28571428571429,71.375,7.2
Rodri ,191 cm,82 kg,Right,"June 22, 1996",27,"CDM, CM",89,90,97000000.0,250.0,8,83.5,82.5,83.0,80.66666666666667,71.0,70.625,9.8
Alisson ,193 cm,91 kg,Right,"Oct. 2, 1992",31,GK,89,90,68500000.0,180.0,89,34.5,17.5,45.0,45.0,54.0,25.0,87.2
Mohamed Salah ,175 cm,71 kg,Left,"June 15, 1992",31,RW,89,89,85500000.0,260.0,14,87.0,42.0,79.5,80.33333333333333,85.71428571428571,79.25,12.4
Virgil van Dijk ,193 cm,92 kg,Right,"July 8, 1991",32,CB,89,89,70500000.0,220.0,11,73.0,88.5,77.0,72.66666666666667,73.71428571428571,65.0,11.6
